t, 1, 2, 3, 4, 5
0.0,0.0,0.0,0.0,0.0,0.0
0.125,0.0,0.0,0.0,0.0,0.0
0.25,0.0,0.0,0.0,0.0,0.0
0.375,0.0,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0,0.0
0.625,0.0,0.0,0.0,0.0,0.0
0.75,0.0,0.0,0.0,0.0,0.0
0.875,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
1.125,0.0,0.0,0.0,0.0,0.0
1.25,0.0,0.0,0.0,0.0,0.0
1.375,0.0,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0,0.0
1.625,0.0,0.0,0.0,0.0,0.0
1.75,0.0,0.0,0.0,0.0,0.0
1.875,0.0,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0
2.125,0.0,0.0,0.0,0.0,0.0
2.25,0.0,0.0,0.0,0.0,0.0
2.375,0.0,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0,0.0
2.625,0.0,0.0,0.0,0.0,0.0
2.75,0.0,0.0,0.0,0.0,0.0
2.875,0.0,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0
3.125,0.0,0.0,0.0,0.0,0.0
3.25,0.0,0.0,0.0,0.0,0.0
3.375,0.0,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0,0.0
3.625,0.0,0.0,0.0,0.0,0.0
3.75,0.0,0.0,0.0,0.0,0.0
3.875,0.0,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0,0.0
4.125,0.0,0.0,0.0,0.0,0.0
4.25,0.0,0.0,0.0,0.0,0.0
4.375,0.0,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0,0.0
4.625,0.0,0.0,0.0,0.0,0.0
4.75,0.0,0.0,0.0,0.0,0.0
4.875,0.0,0.0,0.0,0.0,0.0
5.0,0.0,0.0,0.0,0.0,0.0
5.125,0.0,0.0,0.0,0.0,0.0
5.25,0.0,0.0,0.0,0.0,0.0
5.375,0.0,0.0,0.0,0.0,0.0
5.5,0.0,1.0,0.0,0.0,0.0
5.625,0.0,0.991701292639,0.0,0.0,0.0
5.75,0.0,0.983471453822,0.0,0.0,0.0
5.875,0.0,0.975309912028,0.0,0.0,0.0
6.0,0.0,0.967216100482,0.0,0.0,0.0
6.125,0.0,0.959189457109,0.0,0.0,0.0
6.25,0.0,0.951229424501,0.0,0.0,0.0
6.375,0.0,0.943335449873,0.0,0.0,0.0
6.5,0.0,0.935506985032,0.0,0.0,0.0
6.625,0.0,0.927743486329,0.0,0.0,0.0
6.75,0.0,0.920044414629,0.0,0.0,0.0
6.875,0.0,0.912409235273,0.0,0.0,0.0
7.0,0.0,0.904837418036,0.0,0.0,0.0
7.125,0.0,0.897328437094,0.0,0.0,0.0
7.25,0.0,0.889881770988,0.0,0.0,0.0
7.375,0.0,0.882496902585,0.0,0.0,0.0
7.5,0.0,0.875173319043,0.0,0.0,0.0
7.625,0.0,0.867910511778,0.0,0.0,0.0
7.75,0.0,0.860707976425,0.0,0.0,0.0
7.875,0.0,0.853565212805,0.0,0.0,0.0
8.0,0.0,0.846481724891,0.0,0.0,0.0
8.125,0.0,0.839457020769,0.0,0.0,0.0
8.25,0.0,0.832490612612,0.0,0.0,0.0
8.375,0.0,0.825582016637,0.0,0.0,0.0
8.5,0.0,0.818730753078,0.0,0.0,0.0
8.625,0.0,0.811936346151,0.0,0.0,0.0
8.75,0.0,0.805198324018,0.0,0.0,0.0
8.875,0.0,0.798516218759,0.0,0.0,0.0
9.0,0.0,0.791889566337,0.0,0.0,0.0
9.125,0.0,0.785317906563,0.0,0.0,0.0
9.25,0.0,0.778800783071,0.0,0.0,0.0
9.375,0.0,0.77233774328,0.0,0.0,0.0
9.5,0.0,0.765928338365,0.0,0.0,0.0
9.625,0.0,0.759572123225,0.0,0.0,0.0
9.75,0.0,0.753268656455,0.0,0.0,0.0
9.875,0.0,0.74701750031,0.0,0.0,0.0
10.0,0.0,0.740818220682,0.0,0.0,0.0
10.125,0.0,0.73467038706,0.0,0.0,0.0
10.25,0.0,0.728573572511,0.0,0.0,0.0
10.375,0.0,0.722527353642,0.0,0.0,0.0
10.5,0.0,0.716531310574,0.0,0.0,0.0
10.625,0.0,0.710585026912,0.0,0.0,0.0
10.75,0.0,0.704688089719,0.0,0.0,0.0
10.875,0.0,0.698840089481,0.0,0.0,0.0
11.0,0.0,0.693040620086,0.0,0.0,0.0
11.125,0.0,0.687289278791,0.0,0.0,0.0
11.25,0.0,0.681585666194,0.0,0.0,0.0
11.375,0.0,0.675929386209,0.0,0.0,0.0
11.5,0.0,0.670320046036,0.0,0.0,0.0
11.625,0.0,0.664757256135,0.0,0.0,0.0
11.75,0.0,0.6592406302,0.0,0.0,0.0
11.875,0.0,0.65376978513,0.0,0.0,0.0
12.0,0.0,0.648344341002,0.0,0.0,1.0
12.125,0.0,0.642963921046,0.0,0.0,0.991701292639
12.25,0.0,0.637628151622,1.0,0.0,0.983471453822
12.375,0.0,0.632336662186,0.991701292639,0.0,0.975309912028
12.5,0.0,0.627089085273,0.983471453822,0.0,0.967216100482
12.625,0.0,0.621885056465,0.975309912028,0.0,0.959189457109
12.75,0.0,0.616724214369,0.967216100482,0.0,0.951229424501
12.875,0.0,0.611606200592,0.959189457109,0.0,0.943335449873
13.0,0.0,0.606530659713,0.951229424501,0.0,0.935506985032
13.125,0.0,0.601497239262,0.943335449873,0.0,0.927743486329
13.25,0.0,0.596505589695,0.935506985032,0.0,0.920044414629
13.375,0.0,0.591555364367,0.927743486329,0.0,0.912409235273
13.5,0.0,0.58664621951,0.920044414629,0.0,0.904837418036
13.625,0.0,0.58177781421,0.912409235273,0.0,0.897328437094
13.75,0.0,0.57694981038,0.904837418036,0.0,0.889881770988
13.875,0.0,0.572161872742,0.897328437094,0.0,0.882496902585
14.0,0.0,0.567413668797,0.889881770988,0.0,0.875173319043
14.125,0.0,0.562704868807,0.882496902585,0.0,0.867910511778
14.25,0.0,0.55803514577,0.875173319043,0.0,0.860707976425
14.375,0.0,0.553404175398,0.867910511778,0.0,0.853565212805
14.5,0.0,0.548811636094,0.860707976425,0.0,0.846481724891
14.625,0.0,0.54425720893,0.853565212805,0.0,0.839457020769
14.75,0.0,0.539740577624,0.846481724891,0.0,0.832490612612
14.875,0.0,0.535261428519,0.839457020769,0.0,0.825582016637
15.0,0.0,0.530819450562,0.832490612612,1.0,0.818730753078
15.125,0.0,0.52641433528,0.825582016637,0.991701292639,0.811936346151
15.25,0.0,0.522045776761,0.818730753078,0.983471453822,0.805198324018
15.375,0.0,0.517713471631,0.811936346151,0.975309912028,0.798516218759
15.5,0.0,0.513417119033,0.805198324018,0.967216100482,0.791889566337
15.625,0.0,0.509156420608,0.798516218759,0.959189457109,0.785317906563
15.75,0.0,0.504931080472,0.791889566337,0.951229424501,0.778800783071
15.875,0.0,0.500740805198,0.785317906563,0.943335449873,0.77233774328
16.0,0.0,0.496585303791,0.778800783071,0.935506985032,0.765928338365
16.125,0.0,0.492464287675,0.77233774328,0.927743486329,0.759572123225
16.25,0.0,0.488377470666,0.765928338365,0.920044414629,0.753268656455
16.375,0.0,0.484324568955,0.759572123225,0.912409235273,0.74701750031
16.5,0.0,0.48030530109,0.753268656455,0.904837418036,0.740818220682
16.625,0.0,0.476319387952,0.74701750031,0.897328437094,0.73467038706
16.75,0.0,0.472366552741,0.740818220682,0.889881770988,0.728573572511
16.875,0.0,0.468446520953,0.73467038706,0.882496902585,0.722527353642
17.0,0.0,0.464559020361,0.728573572511,0.875173319043,0.716531310574
17.125,0.0,0.460703780999,0.722527353642,0.867910511778,0.710585026912
17.25,0.0,0.45688053514,0.716531310574,0.860707976425,0.704688089719
17.375,0.0,0.45308901728,0.710585026912,0.853565212805,0.698840089481
17.5,0.0,0.449328964117,0.704688089719,0.846481724891,0.693040620086
17.625,0.0,0.445600114535,0.698840089481,0.839457020769,0.687289278791
17.75,0.0,0.441902209585,0.693040620086,0.832490612612,0.681585666194
17.875,0.0,0.438234992465,0.687289278791,0.825582016637,0.675929386209
18.0,0.0,0.434598208507,0.681585666194,0.818730753078,0.670320046036
18.125,0.0,0.430991605155,0.675929386209,0.811936346151,0.664757256135
18.25,0.0,0.427414931949,0.670320046036,0.805198324018,0.6592406302
18.375,0.0,0.423867940507,0.664757256135,0.798516218759,0.65376978513
18.5,0.0,0.420350384509,0.6592406302,0.791889566337,0.648344341002
18.625,0.0,0.416862019679,0.65376978513,0.785317906563,0.642963921046
18.75,0.0,0.413402603767,0.648344341002,0.778800783071,0.637628151622
18.875,0.0,0.409971896536,0.642963921046,0.77233774328,0.632336662186
19.0,0.0,0.406569659741,0.637628151622,0.765928338365,0.627089085273
19.125,0.0,0.403195657113,0.632336662186,0.759572123225,0.621885056465
19.25,0.0,0.399849654345,0.627089085273,0.753268656455,0.616724214369
19.375,0.0,0.396531419075,0.621885056465,0.74701750031,0.611606200592
19.5,0.0,0.393240720869,0.616724214369,0.740818220682,0.606530659713
19.625,0.0,0.389977331204,0.611606200592,0.73467038706,0.601497239262
19.75,0.0,0.386741023455,0.606530659713,0.728573572511,0.596505589695
19.875,0.0,0.383531572876,0.601497239262,0.722527353642,0.591555364367
20.0,0.0,0.380348756589,0.596505589695,0.716531310574,0.58664621951
20.125,0.0,0.377192353563,0.591555364367,0.710585026912,0.58177781421
20.25,0.0,0.374062144602,0.58664621951,0.704688089719,0.57694981038
20.375,0.0,0.370957912329,0.58177781421,0.698840089481,0.572161872742
20.5,0.0,0.367879441171,0.57694981038,0.693040620086,0.567413668797
20.625,0.0,0.364826517345,0.572161872742,0.687289278791,0.562704868807
20.75,0.0,0.36179892884,0.567413668797,0.681585666194,0.55803514577
20.875,0.0,0.358796465406,0.562704868807,0.675929386209,0.553404175398
21.0,0.0,0.355818918537,0.55803514577,0.670320046036,0.548811636094
21.125,0.0,0.352866081459,0.553404175398,0.664757256135,0.54425720893
21.25,0.0,0.349937749111,0.548811636094,0.6592406302,0.539740577624
21.375,0.0,0.347033718137,0.54425720893,0.65376978513,0.535261428519
21.5,0.0,0.344153786865,0.539740577624,0.648344341002,0.530819450562
21.625,0.0,0.341297755301,0.535261428519,0.642963921046,0.52641433528
21.75,0.0,0.338465425107,0.530819450562,0.637628151622,0.522045776761
21.875,0.0,0.335656599592,0.52641433528,0.632336662186,0.517713471631
